Unnamed: 0,CS.4A1-3B2,SILO POLVOS BY-PASS Nº 1.,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,_computed_score,_computed_matches
,CS.4A1-3B3,TOLVA PESON POLVOS,,,,,,,,,,,,,,,,0.0,
,CS.411-3B1,TOLVA PESON CAUDALIMETRO. (PFISTER),x,,,,,,,,,,,,,,,0.0,
,CS.541-3B2,TOLVA PESON CENIZA MOLINO Nº 1.,,x,,,,,,,,,,,,,,0.0,
,CS.542-3B2,TOLVA PESON CENIZA SILO Nº 2.,,,,,,,,,,,,,,,,0.0,
,CS.L21-3B1,SILO Nº1 50 M3. CARBON BRUTO.,,x,,,,,,,,,,,,,,0.0,
,CS.L21-3B2,SILO Nº 2 DE 50 M3 CARBON BRUTO.,,x,,,,,,,,,,,,,,0.0,
,CS.L91-3B1,SILO 10 M3 DE CARBON.,,x,,,,,,,,,,,,,,0.0,
,CS.T21-3B2,TOLVA ESCORIA RECHAZO 15T,,,x,,,,,,,,,,,,,0.0,
,CS.T61-3B1,TOLVA MOLINO ESCORIA 21T,,,x,,,,,,,,,,,,,0.0,
,CS.T61-3B2,TOLVA DE METALES RECIR MOLINO ESCORIA,,,x,,,,,,,,,,,,,0.0,
,CS.T91-3B2,TOLVA ESCORIA 70 m3,x,,,,,,,,,,,,,,,0.0,
,CS.311-TL1,TOLVA ACOPIO DE CALIZA,,,,,,,,,,,,,,,,0.0,
,CS.311-TL3,TOLVA ACOPIO DE PIRITA,,,,,,,,,,,,,,,,0.0,
,CS.481-3B1,TOLVÍN PFISTER QUEMADOR,,,x,,,,,,,,,,,,,0.0,
,CS.511-TL1,TOLVA  CAMIONES RAMALES DE CLINKER,,,,,,,,,,,,,,,,0.0,
,CS.511-TL4,TOLVA CLINKER CARGA A CAMIONES,,,,,,,,,,,,,,,,0.0,
,CS.L52-3B1,DEPOSITO DE GASOIL CALDERA ATECMA,,,x,,,,,,,,,,,,,0.0,
,CS.L52-3B2,DEPOSITO DE ACEITE TERMICO,,,x,,,,,,,,,,,,,0.0,
,CS.L52-3B3,DEPOSITO DE EXPANSIÓN DE ACEITE TÉRMICO,,,x,,,,,,,,,,,,,0.0,
,CS.V13-3S2,SILO Nº2 SOLIDOS FINOS,,x,,,,,,,,,,,,,,0.0,
,CS.V13-3S1,SILO Nº1 SOLIDOS FINOS,,x,,,,,,,,,,,,,,0.0,
,CS.V15-3B1,TANQUE DESCARGA CAMIONES Nº1,,x,,,,,,,,,,,,,,0.0,
,CS.V15-3B2,TANQUE DESCARGA CAMIONES Nº2,,x,,,,,,,,,,,,,,0.0,
,CS.V15-3B5,TANQUE Nº5 ALMACENAMIENTO COMBUST CLS,,x,,,,,,,,,,,,,,0.0,
,CS.V15-3B6,TANQUE Nº6 ALMACENAMIENTO COMBUST CLS,,x,,,,,,,,,,,,,,0.0,
,CS.V15-3B5,TANQUE Nº3 ALMACENAMIENTO COMBUST CLS,x,,x,,,,,,,,,,,,,0.0,
,CS.V15-3B6,TANQUE Nº4 ALMACENAMIENTO COMBUST CLS,x,,x,,,,,,,,,,,,,0.0,
,CS.V93-3B1,TOLVA PESÓN SOLIDOS FINOS,,x,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,0.0,
,,PLAN DE INSPECCIÓN DETALLE 2023 CON STM,,,,,,,Objetivo: 9 Und por año,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,0.0,
,Código HAC,Denominación,2021,2022,2023,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,0.0,
,CS.311-3B1,TOLVA DE MEZCLA.,,,,,,,,,,,,,,,,0.0,
,CS.311-3B2,TOLVA DE CALIZA.,,,,,,,,,,,,,,,,0.0,
,CS.311-3B3,TOLVA DE PIRITA.,,,,,,,,,,,,,,,,0.0,
,CS.311-3B5,TOLVA CENIZA DE CRUDO.,,x,,,,,,,,,,,,,,0.0,
,CS.311-3B6,TOLVA ARENA DE CRUDO.,,x,,,,,,,,,,,,,,0.0,
,CS.4D1-3B1,SILO POLVOS RECUPERADOS CRUDO.,,x,,,,,,,,,,,,,,0.0,
,CS.4D1-3B2,TOLVA / SILO METALICO,,,,,,,,,,,,,,,,0.0,
,CS.421-TA1,TORRE DE ACONDICIONAMIENTO,x,,,,,,,,,,,,,,,0.0,
,CS.491-3B3,SILO DE INCOCIDO.,,x,,,,,,,,,,,,,,0.0,
,CS.511-3B1,TOLVA DE CLINKER MOLINOS CEMENTO.,,,x,,,,,,,,,,,,,0.0,
,CS.511-3B2,TOLVA DE YESO MOLINOS CEMENTO.,,,,,,,,,,,,,,,,0.0,
,CS.511-3B3,TOLVA PUZOLANA,,,,,,,,,,,,,,,,0.0,
,CS.511-3B4,TOLVA CALIZA MOLINOS CEMENTO.,,,x,,,,,,,,,,,,,0.0,
,CS.541-3B1,SILO CENIZAS Nº 1 CEMENTO.,,,,,,,,,,,,,,,,0.0,
,CS.542-3B1,SILO CENIZA Nº 2 CEMENTO.,,,,,,,,,,,,,,,,0.0,
,CS.591-3B1,SILO METALICO CEMENTO LADO CANTERA (silo A).,,,,,,,,,,,,,,,,0.0,
,CS.591-3B2,SILO METALICO CEMENTO LADO PUERTO (silo B).,,,,,,,,,,,,,,,,0.0,
,CS.L21-3B3,SILO CARBÓN BRUTO 100M3,,,,,,,,,,,,,,,,0.0,
,CS.L61-3B1,SILO 300 M3 CARBON.,x,,,,,,,,,,,,,,,0.0,
,CS.T21-3B1,TOLVA ESCORIA 300T,,,,,,,,,,,,,,,,0.0,
,CS.T91-3B1,SILO DE ESCORIA 2000T,,,,,,,,,,,,,,,,0.0,
,CS.421-FT1,TOLVAS FILTRO DE MANGAS HORNO-CRUDO,,,x,,,,,,,,,,,,,0.0,
,CS.491-3B1,SILO DE CLINKER,,x,,,,,,,,,,,,,,0.0,
,CS.491-3B2,SILO DE CLINKER 2,,x,,,,,,,,,,,,,,0.0,
,CS.4E1-3B2,TANQUE UREA 80M3,,,,,,,,,,,,,,,,0.0,
,CS.543-3B1,SILO SULFATO FERROSO,,,,,,,,,,,,,,,,0.0,
,CS.545-3B1,SILO POLVOS CKD,,,,,,,,,,,,,,,,0.0,
,CS.641-3S1,SILO METÁLICO N1 PUERTO,,,x,,,,,,,,,,,,,0.0,
,CS.641-3S2,SILO METÁLICO N2 PUERTO,,,x,,,,,,,,,,,,,0.0,
,CS.641-3S3,SILO METÁLICO N3 PUERTO,,,x,,,,,,,,,,,,,0.0,
,CS.L12-3B1,TANQUE DE FUEL 6000M3,,,,,,,,,,,,,,,,0.0,
,CS.L12-3B2,"SILO ALMACENAMIENTO ""AF"" ACEITES",,,,,,,,,,,,,,,,0.0,
,CS.L21-TL1,TOLVA AUXILIAR CARBÓN BRUTO,,,x,,,,,,,,,,,,,0.0,
,CS.L21-3B4,SILO CARBÓN BRUTO Nº4,,,x,,,,,,,,,,,,,0.0,
,CS.M11-3B1,TANQUE DE AGUA Nº1,,,,,,,,,,,,,,,,0.0,
,CS.M11-3B2,TANQUE DE AGUA Nº2,,,,,,,,,,,,,,,,0.0,
,CS.N11-3B1,TANQUE DE HOMOGENEIZACIÓN 30 M3,,,,,,,,,,,,,,,,0.0,
,CS.N11-3B2,TANQUE DE HOMOGENEIZACIÓN 30 M3,,,,,,,,,,,,,,,,0.0,
,CS.V91-TL1,TOLVA Nº1 NEUMÁTICOS,,,,,,,,,,,,,,,,0.0,
,CS.V91-TL2,TOLVA Nº2 CSSg,,,,,,,,,,,,,,,,0.0,
,CS.V91-TL3,TOLVA Nº3 CSSg,,,,,,,,,,,,,,,,0.0,
,CS.T61-FT1,TOLVAS FILTRO DE MANGAS MOLINO DE ESCORIA,,,x,,,,,,,,,,,,,0.0,
,CS.L61-FT1,TOLVA FILTRO DE MANGAS MOLINO DE CARBÓN,,,,,,,,,,,,,,,,0.0,
,CS.561-FT1,FILTRO DE MANGAS MZ1,,,x,,,,,,,,,,,,,0.0,
,CS.562-FT1,FILTRO DE MANGAS MZ2,,x,,,,,,,,,,,,,,0.0,
